Number: 169, Type: 2f, Grid Ref: TQ3377658353, Longitude: 51.308577, Latitude: -0.082111, Distance: 14.92
Number: 170, Type: 4c, Grid Ref: TQ3395058128, Longitude: 51.306514, Latitude: -0.079701, Distance: 15.20
Number: 171, Type: 2d, Grid Ref: TQ3411257971, Longitude: 51.305065, Latitude: -0.077437, Distance: 15.42
Number: 172, Type: 2h, Grid Ref: TQ3437257665, Longitude: 51.302254, Latitude: -0.073824, Distance: 15.82
Number: 173, Type: 5, Grid Ref: TQ3530957036, Longitude: 51.29638, Latitude: -0.06063, Distance: 16.87
Number: 174, Type: 2d, Grid Ref: TQ3534957031, Longitude: 51.296326, Latitude: -0.060059, Distance: 16.90
Number: 175, Type: 2*, Grid Ref: TQ3579057669, Longitude: 51.301954, Latitude: -0.053495, Distance: 16.64
Number: 176, Type: 2, Grid Ref: TQ3647258268, Longitude: 51.307175, Latitude: -0.043489, Distance: 16.61
Number: 177, Type: 2d, Grid Ref: TQ3658758362, Longitude: 51.307992, Latitude: -0.041804, Distance: 16.61
Number: 178, Type: 2d, Grid Ref: TQ3712659131, Longitude: 51.314773, Latitude: -0.03378, Distance: 16.41
Number: 179, Type: 2d, Grid Ref: TQ3650159666, Longitude: 51.319731, Latitude: -0.042538, Distance: 15.59
Number: 180, Type: 2, Grid Ref: TQ3684559560, Longitude: 51.318696, Latitude: -0.037645, Distance: 15.91
Number: 181, Type: 2d, Grid Ref: TQ3819960178, Longitude: 51.323923, Latitude: -0.017988, Distance: 16.48
Number: 183, Type: 2d, Grid Ref: TQ3949461278, Longitude: 51.333493, Latitude: 0.001016, Distance: 16.84
Number: 184, Type: 2d, Grid Ref: TQ3963761039, Longitude: 51.33131, Latitude: 0.002974, Distance: 17.09
Number: 185, Type: 2c, Grid Ref: TQ3977361103, Longitude: 51.331852, Latitude: 0.00495, Distance: 17.16
Number: 186, Type: 2d, Grid Ref: TQ4153561718, Longitude: 51.336943, Latitude: 0.030469, Distance: 18.33
Number: 187, Type: 2d, Grid Ref: TQ4240561150, Longitude: 51.331622, Latitude: 0.042723, Distance: 19.36
Number: 188, Type: 2, Grid Ref: TQ4353460010, Longitude: 51.321093, Latitude: 0.058458, Distance: 20.92
Number: 189, Type: 2d, Grid Ref: TQ4385760572, Longitude: 51.326062, Latitude: 0.063317, Distance: 20.91
Number: 190, Type: 2h, Grid Ref: TQ4510462964, Longitude: 51.34724, Latitude: 0.082174, Distance: 20.99
Number: 191, Type: 2, Grid Ref: TQ4549163255, Longitude: 51.349756, Latitude: 0.087846, Distance: 21.24
Number: 192, Type: 2, Grid Ref: TQ4555563328, Longitude: 51.350396, Latitude: 0.088794, Distance: 21.28
Number: 193, Type: 2c, Grid Ref: TQ4559163484, Longitude: 51.351789, Latitude: 0.089374, Distance: 21.26
Number: 194, Type: 2, Grid Ref: TQ4557363890, Longitude: 51.355441, Latitude: 0.089282, Distance: 21.10
Number: 195, Type: 2, Grid Ref: TQ4551164359, Longitude: 51.359672, Latitude: 0.088584, Distance: 20.89
Number: 196, Type: 2, Grid Ref: TQ4630464370, Longitude: 51.359567, Latitude: 0.099969, Distance: 21.64
Number: 197, Type: 5, Grid Ref: TQ4634464573, Longitude: 51.361381, Latitude: 0.100627, Distance: 21.62
Number: 198, Type: 2d, Grid Ref: TQ4670365075, Longitude: 51.365799, Latitude: 0.105986, Distance: 21.83
Number: 199, Type: 2c, Grid Ref: TQ4796265096, Longitude: 51.365661, Latitude: 0.124067, Distance: 23.04
